longitude	latitude	temperature moyenne
-54.1966085419	47.28556	-20.5555555556
-67.5987027189	40.9705	-10.0
-59.2024539138	41.20028	-8.33333333333
-74.7096080432	36.0097	3.33333333333
-60.6000727592	43.34972	-16.1111111111
-79.1519900722	36.2967	10.5555555556
-83.7320506398	44.33944	0.0
-79.9102930619	37.92722	6.11111111111
-88.9783217414	35.94611	-1.11111111111
-83.1504829737	31.83111	9.44444444444
-59.7864492411	38.68917	-2.77777777778
-93.2412313777	47.6216	-3.88888888889
-85.7473902631	44.51694	1.66666666667
-68.0723584636	39.57806	-5.0
-88.2076662402	47.51667	-5.0
-77.1011716875	47.9428	-4.44444444444
-58.4040548462	43.35	-13.8888888889
-75.1398197591	32.38472	9.44444444444
-84.5884438365	48.2138	-9.44444444444
-64.8599438522	28.06222	12.7777777778
-86.1105715552	39.1342	-2.22222222222
-63.6388381915	41.62639	-11.6666666667
-77.0297619534	32.66361	10.0
-80.6787430408	39.36722	7.22222222222
-72.1834758053	33.4825	7.22222222222
-75.2568631774	29.2733	14.4444444444
-65.3295614285	34.84611	5.55555555556
-71.6750632507	47.74722	-1.11111111111
-81.4412428697	32.67528	10.5555555556
-55.2136478565	45.46222	-21.1111111111
-85.6021113994	35.1663	-3.88888888889
-65.2735427491	29.6919	10.0
-77.2838809618	35.8517	10.0
-57.1606638901	41.3275	-7.77777777778
-90.6514087337	48.3042	-5.55555555556
-70.6725502358	30.4119	8.33333333333
-69.9234660119	44.4794	-8.33333333333
-65.1812519551	34.24861	5.55555555556
-77.9974229561	40.9611	5.55555555556
-77.6163991473	31.06667	10.0
-67.8506638062	42.8825	-8.88888888889
-68.063544308	41.52722	-9.44444444444
-63.4232047536	36.0969	2.77777777778
-65.2325977832	34.88472	5.0
-88.365440419	47.4733	-6.11111111111
-86.3120833036	35.5144	-1.66666666667
-80.5295529452	36.68167	8.33333333333
-66.5070326555	34.27194	5.0
-71.4705050255	33.4963	6.66666666667
-69.0567830224	31.41556	8.88888888889
-67.0579689492	39.36444	-4.44444444444
-70.8092132822	31.28194	8.88888888889
-78.5836317392	34.9894	7.77777777778
-78.8110623413	40.45	6.66666666667
-78.6801828407	29.3601	8.33333333333
-81.4414650087	46.01389	-2.77777777778
-57.63756445	41.73611	-9.44444444444
-61.6671330019	39.70778	-3.33333333333
-93.8808090401	33.92278	13.8888888889
-73.6540434904	47.38639	-4.44444444444
-56.7604647311	44.3675	-20.5555555556
-97.5416904277	45.54056	0.0
-94.9079794768	36.31889	10.0
-71.2675890416	35.94028	3.88888888889
-71.5774411222	32.33667	10.0
-64.5646022042	35.7425	3.33333333333
-79.2002418223	39.37556	6.11111111111
-63.9817413722	40.17639	-7.77777777778
-88.826696051	46.6056	-4.44444444444
-77.5238465466	31.13333	12.2222222222
-77.9256244788	44.3981	0.555555555556
-73.8294618475	34.29	6.66666666667
-75.5922453684	29.63806	12.2222222222
-58.4760913295	41.06694	-7.22222222222
-98.320438133	46.9727	-0.555555555556
-94.6161999853	45.82583	0.0
-77.4742619629	26.22806	20.5555555556
-73.9060997802	36.2668	4.44444444444
-59.9948869642	35.2326	5.55555555556
-78.0864372008	40.6005	6.11111111111
-68.8520502594	34.64389	5.0
-67.1762420652	44.3591	-12.2222222222
-65.4952850077	38.365	-1.66666666667
-69.2667995186	39.45194	-5.0
-53.7836443277	46.1236	-17.7777777778
-77.6380021588	38.06528	7.77777777778
-57.8253194515	41.26389	-6.66666666667
-87.0810806964	48.5428	-8.88888888889
-96.8803431497	37.6542	7.22222222222
-63.6595526472	25.99889	15.0
-57.8107772848	40.82167	-5.55555555556
-55.7568727557	41.66861	-8.33333333333
-72.5475377197	46.02611	-4.44444444444
-64.0203062781	41.77806	-12.7777777778
-61.456005811	38.9408	-3.33333333333
-62.6257735771	43.10833	-12.2222222222
-75.6541745302	29.98	11.1111111111
-79.2101587391	43.39056	7.22222222222
-77.2964159446	37.6475	8.88888888889
-88.9089033242	43.51639	1.11111111111
-81.3332595466	43.02056	1.66666666667
-90.3891261194	35.2577	6.11111111111
-62.7258233669	35.93333	1.66666666667
-57.2671081078	41.74194	-10.0
-59.9781472087	39.6728	-4.44444444444
-61.8019872027	34.2675	3.88888888889
-66.5002018833	39.42028	-7.22222222222
-80.6205664404	40.51	7.77777777778
-69.9058853019	45.81833	-8.88888888889
-68.4495741763	39.7318	-5.55555555556
-81.8754927541	31.7801	10.5555555556
-74.0976946119	48.5614	-5.0
-91.7777562715	36.58333	4.44444444444
-63.6445662026	36.13361	2.22222222222
-87.8407165197	35.0281	4.44444444444
-72.6259924315	41.63278	-3.33333333333
-91.6946763097	32.83417	11.1111111111
-61.0260876359	41.2433	-7.22222222222
-73.4195599772	40.09722	1.66666666667
-82.2204427864	48.1738	-6.66666666667
-57.9954540754	40.79389	-5.55555555556
-71.2724364305	44.35917	-5.55555555556
-81.1474879284	39.24472	7.77777777778
-55.3059862518	43.96361	-16.6666666667
-75.2810763213	38.83167	6.66666666667
